cities.name,cities.geocode,State,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Not in any Significant Urban Area (NSW),Not in any Significant Urban Area (NSW),NSW,971734,979752,984419,989905,995524,1001028,1006487,1013060,1018827,1025509,1031562
Albury - Wodonga,Albury - Wodonga,NSW,82307,83245,84195,85229,86564,87982,89306,90836,92251,93541,94837
Armidale,Armidale,NSW,23166,23349,23471,23631,23756,23856,23979,24114,24369,24482,24584
Ballina,Ballina,NSW,24126,24309,24469,24622,24852,25066,25325,25643,25930,26358,26625
Batemans Bay,Batemans Bay,NSW,15939,16129,16352,16330,16322,16332,16348,16381,16438,16469,16553
Bathurst,Bathurst,NSW,32831,33328,33754,34065,34495,34881,35374,35878,36359,36762,37191
Bowral - Mittagong,Bowral - Mittagong,NSW,35576,35996,36266,36551,36956,37366,37927,38653,39229,39852,40411
Broken Hill,Broken Hill,NSW,19421,19267,19151,18985,18802,18627,18360,18114,17883,17715,17479
Camden Haven,Laurieton,NSW,16030,16101,16267,16330,16374,16502,16751,17001,17421,17825,18149
Central Coast,Central Coast,NSW,309031,312590,314941,317328,319785,322310,325096,328330,331078,333280,335470
Coffs Harbour,Coffs Harbour,NSW,64987,66003,66689,67228,67926,68580,69239,70106,70914,71754,72541
Dubbo,Dubbo,NSW,34602,35056,35281,35541,35867,36323,36715,37118,37713,38338,38767
Forster - Tuncurry,Forster - Tuncurry,NSW,19913,20137,20273,20311,20411,20503,20635,20855,21019,21142,21221
Goulburn,Goulburn,NSW,21629,21973,22202,22442,22673,22897,23138,23415,23657,23812,24070
Grafton,Grafton,NSW,18695,18891,19051,19043,19055,19046,19037,19037,19074,19058,19046
Griffith,Griffith,NSW,18442,18604,18683,18903,19115,19309,19499,19709,19961,20225,20399
Kempsey,Kempsey,NSW,14643,14722,14796,14865,14936,15006,15055,15125,15279,15291,15378
Lismore,Lismore,NSW,29093,29208,29294,29320,29316,29229,29111,29016,28835,28693,28576
Lithgow,Lithgow,NSW,12514,12595,12686,12796,12867,12976,13032,13040,13013,12960,12907
Morisset - Cooranbong,Morisset - Cooranbong,NSW,22301,22456,22644,22835,23117,23488,23877,24207,24679,25280,25662
Mudgee,Mudgee,NSW,10422,10643,10832,11092,11372,11638,11880,12019,12212,12394,12518
Muswellbrook,Muswellbrook,NSW,11859,12038,12222,12263,12282,12309,12333,12376,12394,12348,12372
Nelson Bay,Nelson Bay,NSW,25247,25729,26116,26347,26592,26872,27137,27459,27726,28029,28276
Newcastle - Maitland,Newcastle - Maitland,NSW,442211,447384,453265,457767,462602,467451,471483,475716,480756,486176,491474
Nowra - Bomaderry,Nowra - Bomaderry,NSW,33460,34069,34604,34909,35188,35676,36200,36790,37155,37375,37838
Orange,Orange,NSW,36286,36988,37785,38167,38585,39041,39222,39586,39963,40438,40804
Parkes,Parkes,NSW,11039,11207,11318,11306,11297,11288,11264,11251,11236,11211,11208
Port Macquarie,Port Macquarie,NSW,41934,42712,43275,43953,44478,45227,45798,46376,47119,47930,48723
Singleton,Singleton,NSW,16509,16649,16730,16671,16649,16625,16570,16517,16470,16328,16277
St Georges Basin - Sanctuary Point,St Georges Basin - Sanctuary Point,NSW,16395,16631,16967,17303,17629,17940,18224,18545,18825,19234,19555
Sydney,Sydney,NSW,4130798,4189855,4240340,4305282,4382032,4462430,4547327,4637436,4745573,4830380,4914343
Tamworth,Tamworth,NSW,39031,39629,40085,40481,40864,41272,41582,41986,42418,42822,43188
Taree,Taree,NSW,25834,26054,26307,26337,26375,26382,26375,26385,26393,26353,26394
Ulladulla,Ulladulla,NSW,14548,14717,14758,14918,15041,15189,15383,15618,15854,16198,16495
Wagga Wagga,Wagga Wagga,NSW,53445,53891,54137,54362,54651,54977,55359,55800,56095,56377,56675
Wollongong,Wollongong,NSW,275768,279330,281700,283388,286017,288848,291687,294784,298633,302432,306034
Not in any Significant Urban Area (Vic.),Not in any Significant Urban Area (Vic.),VIC,655654,659626,661996,668077,673846,678841,684197,692024,697721,703827,710172
Bacchus Marsh,Bacchus Marsh,VIC,16584,17006,17488,18119,19048,19632,20207,20989,21636,22222,22964
Bairnsdale,Bairnsdale,VIC,13126,13320,13458,13680,13894,14157,14524,14899,15167,15409,15565
Ballarat,Ballarat,VIC,89673,91635,93470,94970,96577,98125,99662,101678,103565,105472,107652
Bendigo,Bendigo,VIC,84600,85978,87340,88998,90772,92457,94035,95934,97455,99122,100991
Colac,Colac,VIC,11759,11888,11981,12063,12160,12245,12337,12450,12498,12546,12574
Echuca - Moama,Echuca - Moama,VIC,19375,19541,19659,19907,20164,20414,20625,20848,21060,21233,21392
Geelong,Geelong,VIC,220553,224213,227957,231875,236535,241426,247166,254296,261185,268291,275794
Gisborne - Macedon,Gisborne - Macedon,VIC,17944,18226,18570,19066,19489,19913,20439,21011,21440,21850,22141
Horsham,Horsham,VIC,15748,15918,16099,16170,16245,16307,16363,16462,16497,16513,16589
Melbourne,Melbourne,VIC,3895553,3965582,4025375,4116923,4216425,4318272,4423763,4546593,4670641,4785976,4893870
Melton,Melton,VIC,43896,46460,48792,51638,54186,56516,59032,61960,65309,68766,72177
Mildura - Wentworth,Mildura - Wentworth,VIC,47883,48219,48505,49061,49677,50196,50580,51051,51515,51896,52176
