ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
NSLP,ACTEWAGL,2018/01/01,2018/05/10 22:02:32,41790.305,38824.804,36325.469,34830.563,33390.996,32480.380,31786.528,31495.917,31372.537,29079.381,30628.104,33062.406,33762.269,34207.801,35359.246,36003.699,36951.058,38228.466,40053.869,40988.312,45671.894,46430.291,46582.005,47159.096,49424.305,50162.985,52285.458,55469.213,59350.687,64289.120,68453.030,74875.948,81039.191,85918.078,88892.470,90028.495,87506.692,83398.298,78954.675,75793.359,72150.365,66937.461,61536.646,56437.317,60439.337,56159.845,49303.040,42223.035,37,Y,6541
NSLP,ACTEWAGL,2018/01/02,2018/05/10 22:02:32,38062.146,35411.916,34304.397,33076.997,32136.936,31697.862,31443.089,31379.923,32181.430,30355.482,34361.834,40166.918,43501.393,45122.963,45277.206,44523.652,43674.989,42760.797,43215.354,42595.024,47622.785,47076.968,47061.513,50514.274,54860.801,54315.111,53646.375,55870.788,58069.070,61993.217,65484.541,70349.150,76410.240,84764.476,87299.874,89406.935,86717.928,82518.290,78065.102,75892.488,72624.000,67958.583,62574.311,57446.411,61281.830,56732.258,49940.126,42379.433,38,Y,6541
NSLP,ACTEWAGL,2018/01/03,2018/05/10 22:02:32,38255.428,35471.394,34543.129,33140.382,32524.798,32101.169,31914.739,31975.696,32501.923,31608.624,35194.440,40987.238,45369.130,46944.370,47817.023,47746.619,46687.739,45408.358,44504.312,44598.161,48657.842,47235.451,44133.820,45445.559,46686.744,46389.627,47495.241,51441.743,56208.315,59294.745,63762.307,66023.571,66373.716,68199.075,68442.660,69570.607,68528.166,67093.808,66077.388,66329.173,63904.259,60565.594,56437.463,52165.007,56945.993,53598.362,47017.465,39931.470,39,Y,6541
NSLP,ACTEWAGL,2018/01/04,2018/05/10 22:02:32,35853.491,33727.418,32287.990,31109.578,30668.901,30377.179,30129.889,30222.555,31108.802,30378.086,34307.952,40755.794,44663.743,47507.114,49539.745,49593.983,48657.279,44479.439,40619.278,38512.968,42493.440,41055.046,38988.779,38776.204,39801.176,39911.228,41454.115,44327.087,48920.751,54053.350,59119.255,66199.299,73894.947,82907.642,89588.961,91727.453,88279.937,84793.929,81007.580,78944.238,75314.615,70416.364,64437.927,59055.589,62059.440,57405.038,50672.631,42951.093,40,Y,6541
NSLP,ACTEWAGL,2018/01/05,2018/05/10 22:02:32,38736.579,36097.748,34691.936,33112.033,32616.711,32149.744,31825.086,32044.872,32358.669,31421.441,34780.156,41480.096,45578.674,47788.553,48121.675,47263.926,46298.199,47465.487,49787.106,45165.928,49888.842,50347.411,50354.492,52192.836,55647.401,58354.198,61834.794,66333.355,71612.547,77547.907,82559.929,88818.754,96225.428,103548.149,108161.425,109711.161,107796.364,102810.400,96701.964,92422.003,87737.181,82175.251,75307.227,68405.165,70915.811,64851.087,56758.086,49193.341,41,Y,6541
NSLP,ACTEWAGL,2018/01/06,2018/05/10 22:02:32,44196.884,40675.410,38839.415,37308.629,36055.761,35303.871,34966.917,34576.357,34520.083,32529.828,34263.604,38331.365,41386.845,43832.150,46406.770,48837.557,51244.488,53570.323,57061.321,61029.421,69160.261,72599.477,74662.907,79504.170,84817.149,88193.889,91483.286,96199.479,101272.448,106013.303,110748.250,116230.575,122049.762,127876.091,131404.623,133304.124,131886.315,127071.446,118976.254,113119.812,107914.907,100688.817,92263.665,83261.897,83546.035,75886.323,66769.443,57493.136,42,Y,6541
NSLP,ACTEWAGL,2018/01/07,2018/05/10 22:02:32,51807.859,48019.085,44873.516,43214.118,41658.084,40183.997,39362.387,38380.507,38290.756,35999.643,36512.241,40955.418,43460.991,46151.094,49747.272,54638.513,59759.907,65824.269,73578.597,79704.598,90490.006,95980.579,101125.626,107832.083,114040.008,118332.664,122814.983,128630.849,140227.623,142925.134,138183.866,132745.771,125959.543,139149.794,143256.261,141367.037,137418.351,131056.005,126572.927,121721.969,113563.519,104752.801,94464.636,84375.306,84055.017,76813.038,67688.576,58921.021,36,Y,6541
NSLP,ACTEWAGL,2018/01/08,2018/05/10 22:02:32,54128.008,50783.961,48888.664,47909.993,46683.094,45439.285,44773.275,44552.345,44933.255,45779.468,48724.366,56561.830,61513.548,63300.160,64605.448,64832.713,67048.274,65892.888,69615.825,72057.608,81980.878,80115.246,83193.821,84067.932,90377.915,92026.912,91599.153,90041.154,93002.326,97907.709,101306.235,95025.859,95296.175,99434.833,102548.839,103782.150,102546.985,99557.749,97169.236,95166.191,90327.543,84396.221,77081.368,69650.319,71846.333,65943.809,57950.451,50142.257,37,Y,6541
NSLP,ACTEWAGL,2018/01/09,2018/05/10 22:02:32,45675.643,43275.115,41221.633,40563.805,39319.683,39199.106,39174.614,37934.054,38528.250,40343.423,43244.072,50156.329,54608.337,58317.908,60201.609,57156.029,55662.166,55792.129,59073.395,56129.832,63428.702,62505.368,61046.413,62807.250,65732.740,64245.950,67842.494,68895.729,84411.585,88678.313,83493.024,81693.196,80819.141,83727.109,84866.209,81054.496,79176.727,76025.746,75140.444,74232.483,72866.871,68696.549,63945.110,59109.393,62919.715,57532.439,50021.519,42699.735,38,Y,6541
NSLP,ACTEWAGL,2018/01/10,2018/05/10 22:02:32,38503.831,36294.704,34854.242,33818.686,33254.989,33008.608,32636.214,33052.747,34116.483,36162.550,39789.043,47406.310,53288.315,56294.309,57086.606,57071.964,54305.439,49779.130,48855.730,47899.212,54003.330,49462.799,44528.458,43574.116,45378.711,43314.239,43510.396,45189.988,48062.586,54096.779,53900.184,58585.472,64949.491,72461.323,77240.624,79347.271,76958.949,75148.776,75016.411,74347.746,71017.676,66340.857,60984.852,55745.672,60043.480,55301.964,48558.493,41250.152,39,Y,6541
