ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
CLOADNSWCE,COUNTRYENERGY,2019/01/01,2019/05/10 20:04:36,38.471,25.870,21.101,19.480,15.860,13.090,10.459,9.702,12.280,10.037,14.414,11.741,5.332,0.340,0.827,2.557,5.572,7.177,9.388,14.355,16.506,11.539,9.239,7.564,11.707,6.922,5.787,4.149,7.557,7.181,7.128,3.941,3.943,2.819,6.504,1.888,1.419,4.330,8.359,10.087,16.215,26.234,34.078,72.615,120.546,76.422,52.943,50.193,3,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/02,2019/05/10 20:04:36,40.536,22.852,24.572,23.193,12.840,15.841,10.495,16.832,14.938,20.160,21.865,20.371,6.633,5.897,2.702,3.033,6.708,12.725,14.663,11.768,13.751,11.122,6.847,7.355,17.500,7.032,4.057,7.473,5.876,4.488,5.217,3.111,2.148,4.110,3.896,6.514,9.636,6.011,10.350,10.677,16.082,24.039,27.839,72.649,111.886,72.005,50.387,37.988,4,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/03,2019/05/10 20:04:36,35.537,28.209,19.975,18.349,23.526,10.766,14.347,14.435,12.417,10.191,16.912,11.081,4.000,7.048,3.286,4.184,5.304,8.890,17.079,10.893,11.700,9.932,5.608,4.988,11.068,8.496,6.473,8.203,6.088,7.453,6.199,2.568,4.669,3.088,3.522,3.478,1.433,2.833,6.938,10.751,10.422,24.764,27.187,68.115,110.266,70.926,50.984,45.426,5,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/04,2019/05/10 20:04:36,31.203,24.992,22.798,19.604,19.796,19.051,16.143,20.842,16.456,10.097,14.781,15.976,6.484,3.572,1.065,2.590,6.590,10.732,15.257,10.451,13.653,11.326,7.477,9.430,8.590,4.970,7.907,5.888,6.869,6.547,5.132,1.965,1.945,2.276,3.909,3.297,1.332,1.476,8.824,8.399,15.694,27.410,31.196,68.965,94.499,64.063,46.382,37.433,6,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/05,2019/05/10 20:04:36,29.918,25.879,17.969,22.395,22.087,14.484,13.186,12.980,12.311,19.543,26.999,18.816,19.827,25.280,15.323,24.865,20.579,23.994,20.367,30.573,21.378,21.467,25.131,24.972,15.488,19.737,20.714,19.718,15.832,18.778,10.643,6.811,3.461,7.448,7.330,10.198,9.438,6.470,10.956,13.582,20.687,11.604,15.647,58.588,58.671,35.554,30.504,27.614,7,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/06,2019/05/10 20:04:36,26.193,16.662,18.686,21.092,15.631,13.547,15.266,12.460,10.588,16.357,24.203,17.501,14.734,13.764,25.904,23.843,18.030,37.344,35.756,29.307,25.920,19.635,18.246,23.227,20.740,27.247,11.494,14.219,19.147,15.700,16.414,6.072,5.462,6.863,9.047,5.701,10.887,8.945,15.112,13.133,20.500,15.716,18.495,57.956,62.295,33.754,24.391,19.308,1,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/07,2019/05/10 20:04:36,24.623,17.829,16.038,16.174,16.372,11.713,11.639,13.755,24.690,17.937,18.072,19.141,8.463,2.309,4.008,1.996,5.586,9.905,18.000,13.945,15.580,15.350,10.379,10.433,13.470,7.855,2.760,3.485,8.433,8.317,4.604,4.138,3.623,2.551,1.240,5.202,2.363,1.816,12.294,11.538,15.619,25.126,24.359,79.317,117.985,86.671,56.709,47.046,2,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/08,2019/05/10 20:04:36,42.102,28.676,20.130,25.830,16.827,20.780,16.437,9.255,14.565,19.812,15.830,21.099,12.374,6.661,3.139,7.033,8.819,8.678,13.815,11.600,14.582,13.021,9.579,10.070,9.215,8.447,9.057,7.260,8.685,5.955,5.009,3.219,2.056,1.892,0.727,1.649,1.590,4.854,11.173,9.490,17.397,26.605,35.463,78.348,118.278,87.426,60.460,49.794,3,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/09,2019/05/10 20:04:36,39.574,24.717,20.340,25.611,17.155,18.682,17.598,17.189,16.589,21.010,23.702,15.542,3.950,5.903,5.311,1.235,7.771,9.061,11.470,8.739,15.672,10.168,5.882,9.337,8.512,4.631,3.620,5.752,5.600,2.940,3.880,3.607,2.044,2.043,1.032,4.072,4.806,4.207,10.109,10.127,18.214,25.250,29.033,77.228,112.110,84.811,62.523,46.719,4,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/10,2019/05/10 20:04:36,40.897,29.757,26.576,30.358,14.418,17.328,16.966,13.079,16.996,12.015,23.752,17.208,6.500,9.912,3.017,4.354,7.895,12.102,13.398,16.052,16.446,9.244,8.819,10.272,10.971,7.209,3.503,4.535,5.530,7.059,7.690,5.148,1.866,1.025,2.541,2.613,5.694,2.229,7.187,6.897,17.000,30.530,30.730,77.936,117.822,95.649,61.659,41.263,5,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/11,2019/05/10 20:04:36,34.414,21.519,18.303,25.236,18.189,15.309,11.575,13.258,13.643,13.518,21.485,18.596,6.884,3.696,3.069,2.389,9.136,9.573,15.240,10.112,11.126,12.543,10.412,7.128,10.136,8.533,3.323,3.527,2.353,2.385,4.405,2.324,0.991,1.869,2.162,4.994,4.258,1.505,8.666,12.898,14.714,22.827,28.609,69.450,108.365,82.833,55.621,42.794,6,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/12,2019/05/10 20:04:36,42.159,31.927,20.843,28.407,16.724,13.196,15.270,13.770,12.298,16.715,17.840,17.250,28.156,30.875,28.423,30.980,24.664,20.673,25.184,17.365,27.168,24.906,17.694,10.826,13.664,16.225,14.448,16.102,16.312,10.931,7.553,3.663,7.184,4.325,5.381,8.018,7.223,4.604,12.453,10.075,18.990,14.477,19.354,56.396,53.467,25.078,21.263,19.020,7,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/13,2019/05/10 20:04:36,22.746,18.808,14.938,23.767,13.952,12.498,11.045,14.627,10.728,13.248,17.756,16.513,17.505,19.933,23.338,22.972,23.080,19.806,19.511,24.741,29.592,25.581,17.049,17.104,15.616,21.060,17.606,15.733,17.340,17.614,11.678,6.488,3.189,4.999,5.816,11.660,10.854,13.588,20.830,20.287,14.265,11.764,21.766,58.325,61.454,33.620,18.199,17.310,1,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/14,2019/05/10 20:04:36,22.207,13.177,12.352,15.659,17.745,14.130,15.003,10.445,16.658,15.461,15.879,14.962,8.331,4.927,3.536,2.821,7.265,8.169,11.944,10.551,14.951,11.442,3.761,4.977,11.406,7.365,1.872,3.862,3.248,3.085,3.217,3.520,2.650,1.059,1.069,1.708,1.038,3.866,10.797,15.397,17.107,23.379,23.081,67.385,101.017,71.095,51.873,41.321,2,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/15,2019/05/10 20:04:36,34.903,29.043,20.391,21.690,11.222,10.800,12.060,12.097,12.577,11.806,11.861,21.719,6.869,6.187,1.362,3.416,8.563,8.019,8.394,12.026,15.519,15.394,9.557,10.416,7.633,4.961,5.750,7.571,3.803,3.980,1.965,2.982,3.446,2.440,2.218,1.600,2.377,3.100,7.573,11.991,13.825,23.191,22.572,68.581,98.032,61.687,51.480,36.743,3,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/16,2019/05/10 20:04:36,33.450,24.377,19.541,19.459,7.683,14.712,10.471,18.346,13.793,9.695,18.603,18.027,6.966,4.499,3.165,1.179,6.076,8.706,15.559,16.191,11.294,8.206,10.137,10.252,11.168,11.587,5.057,5.224,3.169,3.566,1.921,1.350,1.302,1.272,2.135,3.532,2.172,1.657,8.509,12.955,15.527,22.584,22.568,66.384,95.404,66.897,45.956,31.198,4,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/17,2019/05/10 20:04:36,28.017,24.443,12.162,19.310,14.344,11.450,9.286,11.048,10.626,19.844,12.945,14.385,6.256,4.315,2.137,2.398,4.617,8.665,11.950,10.371,10.612,6.521,3.670,5.395,7.633,6.162,4.958,3.954,2.552,5.216,2.105,1.944,2.853,3.168,3.431,1.771,3.229,2.253,7.474,9.302,15.057,21.338,19.275,66.542,94.522,63.846,44.593,36.852,5,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/18,2019/05/10 20:04:36,30.672,24.211,16.967,22.415,21.030,10.255,14.529,14.492,7.774,11.900,11.408,16.071,7.400,6.467,3.217,4.412,7.635,6.932,4.254,2.082,3.953,3.234,2.398,2.747,2.642,2.843,3.557,1.553,2.187,2.737,2.687,2.597,1.985,2.782,3.482,1.367,1.251,1.903,9.947,7.870,15.218,20.138,21.262,66.532,115.187,76.110,49.829,33.701,6,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/19,2019/05/10 20:04:36,23.933,27.951,21.862,21.183,17.588,10.338,10.270,13.337,10.848,14.021,14.411,16.113,22.063,28.956,23.975,28.009,24.615,26.888,19.456,18.629,25.871,24.113,19.469,18.319,17.742,12.363,14.527,15.906,14.040,12.148,14.406,6.181,8.116,8.412,8.821,7.609,4.922,3.347,13.298,10.270,11.624,8.327,19.365,52.085,69.091,32.942,16.360,24.729,7,N,7209
CLOADNSWCE,COUNTRYENERGY,2019/01/20,2019/06/07 22:06:30,20.914,18.417,13.514,17.527,15.158,14.946,9.392,9.601,12.796,13.390,14.521,13.497,15.195,27.549,27.938,21.886,17.808,24.364,23.216,20.736,24.630,19.280,13.387,14.721,22.980,16.303,16.822,15.885,18.246,18.259,12.536,4.883,7.937,7.985,9.112,10.851,8.092,4.299,12.322,15.810,15.854,14.071,21.423,56.268,70.158,33.887,20.800,22.159,1,N,7256
CLOADNSWCE,COUNTRYENERGY,2019/01/21,2019/06/07 22:06:30,16.746,16.173,18.129,13.451,7.144,8.649,11.046,14.631,11.230,20.859,12.338,15.717,9.142,7.139,3.035,4.844,4.138,9.727,11.408,8.105,9.946,7.683,5.996,6.140,2.609,2.743,3.895,5.532,7.970,3.369,2.260,1.782,1.568,3.077,3.038,2.678,1.631,3.606,7.260,7.326,11.254,20.030,20.672,78.119,106.954,82.868,46.230,45.776,2,N,7256
CLOADNSWCE,COUNTRYENERGY,2019/01/22,2019/06/07 22:06:30,34.985,25.489,16.358,15.506,16.238,13.258,12.495,14.706,15.543,12.588,17.719,15.286,6.915,4.711,3.808,2.884,7.754,11.638,10.652,11.758,9.703,7.097,3.460,3.171,8.460,6.100,3.590,4.459,3.576,8.653,8.136,5.197,2.215,2.624,5.151,4.489,2.229,4.731,10.280,8.076,13.382,19.731,18.022,77.615,97.672,60.747,36.336,39.051,3,N,7256
CLOADNSWCE,COUNTRYENERGY,2019/01/23,2019/06/07 22:06:30,31.107,22.116,10.301,11.992,13.200,9.974,10.593,10.343,13.995,11.460,16.326,17.017,6.394,4.790,0.716,1.861,3.433,4.134,9.605,5.431,10.081,9.864,6.975,3.603,3.871,4.026,4.431,4.639,5.946,6.380,7.237,6.625,6.562,5.948,6.444,6.947,5.843,3.527,10.945,12.727,16.338,19.725,21.937,75.898,94.901,63.321,43.946,37.010,4,N,7256
