REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2020/10/01 00:30:00,7286.8,38.58,TRADE
NSW1,2020/10/01 01:00:00,7070.23,38.44,TRADE
NSW1,2020/10/01 01:30:00,6938.4,37.96,TRADE
NSW1,2020/10/01 02:00:00,6700.3,37.84,TRADE
NSW1,2020/10/01 02:30:00,6406.33,35.40,TRADE
NSW1,2020/10/01 03:00:00,6185.85,32.67,TRADE
NSW1,2020/10/01 03:30:00,6037.42,32.18,TRADE
NSW1,2020/10/01 04:00:00,5995.82,31.66,TRADE
NSW1,2020/10/01 04:30:00,5993.23,33.25,TRADE
NSW1,2020/10/01 05:00:00,6090.23,35.17,TRADE
NSW1,2020/10/01 05:30:00,6279.47,37.08,TRADE
NSW1,2020/10/01 06:00:00,6549.02,39.16,TRADE
NSW1,2020/10/01 06:30:00,6962.2,48.52,TRADE
NSW1,2020/10/01 07:00:00,7217.19,39.28,TRADE
NSW1,2020/10/01 07:30:00,7216.71,38.09,TRADE
NSW1,2020/10/01 08:00:00,7092.35,38.60,TRADE
NSW1,2020/10/01 08:30:00,6957.65,39,TRADE
NSW1,2020/10/01 09:00:00,6746.8,32.57,TRADE
NSW1,2020/10/01 09:30:00,6583,34.52,TRADE
NSW1,2020/10/01 10:00:00,6490.49,28.59,TRADE
NSW1,2020/10/01 10:30:00,6386.6,31.50,TRADE
NSW1,2020/10/01 11:00:00,6248.38,12.78,TRADE
NSW1,2020/10/01 11:30:00,6186.6,8.42,TRADE
NSW1,2020/10/01 12:00:00,6138.02,13.60,TRADE
NSW1,2020/10/01 12:30:00,6095.43,7.14,TRADE
NSW1,2020/10/01 13:00:00,6089.52,18.21,TRADE
NSW1,2020/10/01 13:30:00,6147.46,20.19,TRADE
NSW1,2020/10/01 14:00:00,6199.08,19.80,TRADE
NSW1,2020/10/01 14:30:00,6313.85,19.91,TRADE
NSW1,2020/10/01 15:00:00,6441.3,18.39,TRADE
NSW1,2020/10/01 15:30:00,6651.2,35.86,TRADE
NSW1,2020/10/01 16:00:00,6838.9,53.64,TRADE
NSW1,2020/10/01 16:30:00,7114.33,39.31,TRADE
NSW1,2020/10/01 17:00:00,7421.66,39.07,TRADE
NSW1,2020/10/01 17:30:00,7682.19,40.18,TRADE
NSW1,2020/10/01 18:00:00,8078.32,45.70,TRADE
NSW1,2020/10/01 18:30:00,8464.63,152.36,TRADE
NSW1,2020/10/01 19:00:00,8598.69,201.70,TRADE
NSW1,2020/10/01 19:30:00,8431.56,61.90,TRADE
NSW1,2020/10/01 20:00:00,8261.05,52.34,TRADE
NSW1,2020/10/01 20:30:00,8131.14,46.66,TRADE
NSW1,2020/10/01 21:00:00,7995.73,42.10,TRADE
NSW1,2020/10/01 21:30:00,7813.61,38.76,TRADE
NSW1,2020/10/01 22:00:00,7631.99,38.40,TRADE
NSW1,2020/10/01 22:30:00,7715.5,41.55,TRADE
NSW1,2020/10/01 23:00:00,7514.28,38.39,TRADE
NSW1,2020/10/01 23:30:00,7483.15,39.79,TRADE
NSW1,2020/10/02 00:00:00,7449.29,39.03,TRADE
NSW1,2020/10/02 00:30:00,7281.72,38.84,TRADE
NSW1,2020/10/02 01:00:00,7115.73,38.47,TRADE
NSW1,2020/10/02 01:30:00,6893.08,38.02,TRADE
NSW1,2020/10/02 02:00:00,6716.49,38.19,TRADE
NSW1,2020/10/02 02:30:00,6465.25,36.82,TRADE
NSW1,2020/10/02 03:00:00,6263.24,35.10,TRADE
NSW1,2020/10/02 03:30:00,6139.46,35.63,TRADE
NSW1,2020/10/02 04:00:00,6077.33,35.14,TRADE
NSW1,2020/10/02 04:30:00,6075.75,36.20,TRADE
NSW1,2020/10/02 05:00:00,6142.76,37.48,TRADE
NSW1,2020/10/02 05:30:00,6410.48,38.77,TRADE
