REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2020/09/01 00:30:00,1687.87,52.12,TRADE
SA1,2020/09/01 01:00:00,1610.77,49.40,TRADE
SA1,2020/09/01 01:30:00,1498.08,46.98,TRADE
SA1,2020/09/01 02:00:00,1398.55,46.35,TRADE
SA1,2020/09/01 02:30:00,1331.47,40.31,TRADE
SA1,2020/09/01 03:00:00,1274.57,38.09,TRADE
SA1,2020/09/01 03:30:00,1230.48,39.36,TRADE
SA1,2020/09/01 04:00:00,1202.7,34.40,TRADE
SA1,2020/09/01 04:30:00,1219.74,31.18,TRADE
SA1,2020/09/01 05:00:00,1200.89,27.56,TRADE
SA1,2020/09/01 05:30:00,1205,28.85,TRADE
SA1,2020/09/01 06:00:00,1242.35,38.61,TRADE
SA1,2020/09/01 06:30:00,1293.64,44.64,TRADE
SA1,2020/09/01 07:00:00,1421.3,43.49,TRADE
SA1,2020/09/01 07:30:00,1521.86,40.93,TRADE
SA1,2020/09/01 08:00:00,1566.07,38.69,TRADE
SA1,2020/09/01 08:30:00,1524.21,26.62,TRADE
SA1,2020/09/01 09:00:00,1405.37,-5.33,TRADE
SA1,2020/09/01 09:30:00,1278.6,-38.09,TRADE
SA1,2020/09/01 10:00:00,1124.97,9.31,TRADE
SA1,2020/09/01 10:30:00,1029.08,-170.27,TRADE
SA1,2020/09/01 11:00:00,1014.4,-163.51,TRADE
SA1,2020/09/01 11:30:00,895.81,-37.75,TRADE
SA1,2020/09/01 12:00:00,838.47,-29.39,TRADE
SA1,2020/09/01 12:30:00,787.89,-25.50,TRADE
SA1,2020/09/01 13:00:00,755.94,-139.03,TRADE
SA1,2020/09/01 13:30:00,765.79,-33.75,TRADE
SA1,2020/09/01 14:00:00,781.09,-29.17,TRADE
SA1,2020/09/01 14:30:00,865.26,-38.33,TRADE
SA1,2020/09/01 15:00:00,914.09,-25.25,TRADE
SA1,2020/09/01 15:30:00,972.06,-35.80,TRADE
SA1,2020/09/01 16:00:00,1040.98,17.82,TRADE
SA1,2020/09/01 16:30:00,1105.01,39.35,TRADE
SA1,2020/09/01 17:00:00,1210.51,50.08,TRADE
SA1,2020/09/01 17:30:00,1303.45,39.39,TRADE
SA1,2020/09/01 18:00:00,1441.62,47.38,TRADE
SA1,2020/09/01 18:30:00,1562.06,50.23,TRADE
SA1,2020/09/01 19:00:00,1648.11,43.14,TRADE
SA1,2020/09/01 19:30:00,1665.01,38.72,TRADE
SA1,2020/09/01 20:00:00,1666.29,43.55,TRADE
SA1,2020/09/01 20:30:00,1667.54,41.09,TRADE
SA1,2020/09/01 21:00:00,1585.82,40.72,TRADE
SA1,2020/09/01 21:30:00,1510.97,25.54,TRADE
SA1,2020/09/01 22:00:00,1441.38,16.29,TRADE
SA1,2020/09/01 22:30:00,1350.47,35.17,TRADE
SA1,2020/09/01 23:00:00,1289.04,31.17,TRADE
SA1,2020/09/01 23:30:00,1243,32.05,TRADE
SA1,2020/09/02 00:00:00,1396.54,33.66,TRADE
SA1,2020/09/02 00:30:00,1377.42,30.41,TRADE
SA1,2020/09/02 01:00:00,1364.47,30.62,TRADE
SA1,2020/09/02 01:30:00,1279.47,-19.72,TRADE
SA1,2020/09/02 02:00:00,1205.68,-32.68,TRADE
SA1,2020/09/02 02:30:00,1166.47,-32.02,TRADE
SA1,2020/09/02 03:00:00,1177.83,-30.85,TRADE
SA1,2020/09/02 03:30:00,1157.96,-26,TRADE
SA1,2020/09/02 04:00:00,1111.89,-31.50,TRADE
SA1,2020/09/02 04:30:00,1093.34,-26.09,TRADE
SA1,2020/09/02 05:00:00,1112.82,-19.10,TRADE
SA1,2020/09/02 05:30:00,1091.41,-37,TRADE
SA1,2020/09/02 06:00:00,1136.22,-38,TRADE
SA1,2020/09/02 06:30:00,1207.01,-12.33,TRADE
SA1,2020/09/02 07:00:00,1275.03,25.05,TRADE
SA1,2020/09/02 07:30:00,1318.42,29.89,TRADE
SA1,2020/09/02 08:00:00,1347.27,35.34,TRADE
SA1,2020/09/02 08:30:00,1311.8,39.40,TRADE
SA1,2020/09/02 09:00:00,1183.47,29.52,TRADE
SA1,2020/09/02 09:30:00,1080.41,7.85,TRADE
SA1,2020/09/02 10:00:00,938.83,-10.32,TRADE
SA1,2020/09/02 10:30:00,842.32,-32.17,TRADE
SA1,2020/09/02 11:00:00,758.62,-41,TRADE
SA1,2020/09/02 11:30:00,704.21,-39.84,TRADE
SA1,2020/09/02 12:00:00,683.9,-32.98,TRADE
SA1,2020/09/02 12:30:00,690.06,-111.90,TRADE
SA1,2020/09/02 13:00:00,721.66,-113.22,TRADE
SA1,2020/09/02 13:30:00,701.42,-110.67,TRADE
SA1,2020/09/02 14:00:00,716.67,-96.15,TRADE
SA1,2020/09/02 14:30:00,748.29,-159.85,TRADE
SA1,2020/09/02 15:00:00,793.66,-90.07,TRADE
SA1,2020/09/02 15:30:00,838.46,-82.54,TRADE
SA1,2020/09/02 16:00:00,938.78,-39.25,TRADE
SA1,2020/09/02 16:30:00,1027.62,-33.50,TRADE
SA1,2020/09/02 17:00:00,1069.22,-1.08,TRADE
SA1,2020/09/02 17:30:00,1172.24,27.89,TRADE
SA1,2020/09/02 18:00:00,1332.58,38.39,TRADE
SA1,2020/09/02 18:30:00,1428.95,96.13,TRADE
SA1,2020/09/02 19:00:00,1526.37,85.26,TRADE
SA1,2020/09/02 19:30:00,1601.44,43.54,TRADE
SA1,2020/09/02 20:00:00,1599.16,51.18,TRADE
SA1,2020/09/02 20:30:00,1559.52,57.28,TRADE
SA1,2020/09/02 21:00:00,1516.31,50.50,TRADE
SA1,2020/09/02 21:30:00,1490.44,45.76,TRADE
SA1,2020/09/02 22:00:00,1450.47,47.41,TRADE
SA1,2020/09/02 22:30:00,1397.89,57.06,TRADE
SA1,2020/09/02 23:00:00,1322.71,42.15,TRADE
SA1,2020/09/02 23:30:00,1265.68,43.53,TRADE
SA1,2020/09/03 00:00:00,1417.39,46.64,TRADE
SA1,2020/09/03 00:30:00,1392.54,42.32,TRADE
SA1,2020/09/03 01:00:00,1338.77,31.36,TRADE
SA1,2020/09/03 01:30:00,1254.55,31.42,TRADE
SA1,2020/09/03 02:00:00,1174.94,29.14,TRADE
SA1,2020/09/03 02:30:00,1140.43,7.34,TRADE
SA1,2020/09/03 03:00:00,1126.58,8.93,TRADE
SA1,2020/09/03 03:30:00,1069.52,-13.60,TRADE
SA1,2020/09/03 04:00:00,1030.38,-18.17,TRADE
SA1,2020/09/03 04:30:00,1017.98,-16.53,TRADE
SA1,2020/09/03 05:00:00,1011.38,2.74,TRADE
SA1,2020/09/03 05:30:00,1006.44,9.83,TRADE
SA1,2020/09/03 06:00:00,1049.49,23.90,TRADE
SA1,2020/09/03 06:30:00,1116.37,30.79,TRADE
SA1,2020/09/03 07:00:00,1254.09,41.77,TRADE
SA1,2020/09/03 07:30:00,1351.99,33.69,TRADE
SA1,2020/09/03 08:00:00,1381.36,33.22,TRADE
SA1,2020/09/03 08:30:00,1431.74,26.29,TRADE
SA1,2020/09/03 09:00:00,1440.3,15.22,TRADE
SA1,2020/09/03 09:30:00,1405.88,13.16,TRADE
SA1,2020/09/03 10:00:00,1307.06,-9.31,TRADE
SA1,2020/09/03 10:30:00,1198.78,-33.57,TRADE
SA1,2020/09/03 11:00:00,1065.37,-187.94,TRADE
SA1,2020/09/03 11:30:00,1039.64,-48.46,TRADE
SA1,2020/09/03 12:00:00,944.41,-43.50,TRADE
SA1,2020/09/03 12:30:00,854.24,-113.61,TRADE
SA1,2020/09/03 13:00:00,885.68,-39.25,TRADE
SA1,2020/09/03 13:30:00,792.71,-90.13,TRADE
SA1,2020/09/03 14:00:00,791.88,-110.36,TRADE
SA1,2020/09/03 14:30:00,786.05,-94.73,TRADE
SA1,2020/09/03 15:00:00,845.88,-76.37,TRADE
SA1,2020/09/03 15:30:00,897.97,-155.56,TRADE
SA1,2020/09/03 16:00:00,1059.32,-30.92,TRADE
SA1,2020/09/03 16:30:00,1124.79,-27.59,TRADE
SA1,2020/09/03 17:00:00,1127.58,18.35,TRADE
SA1,2020/09/03 17:30:00,1237.8,33.96,TRADE
SA1,2020/09/03 18:00:00,1407.61,51.01,TRADE
SA1,2020/09/03 18:30:00,1553.56,60.36,TRADE
SA1,2020/09/03 19:00:00,1685.32,55.56,TRADE
SA1,2020/09/03 19:30:00,1728.66,41.64,TRADE
SA1,2020/09/03 20:00:00,1733.2,47.17,TRADE
SA1,2020/09/03 20:30:00,1734.62,55.57,TRADE
SA1,2020/09/03 21:00:00,1651.98,47.22,TRADE
SA1,2020/09/03 21:30:00,1634.25,45.01,TRADE
SA1,2020/09/03 22:00:00,1570.88,43.33,TRADE
SA1,2020/09/03 22:30:00,1494.14,40.84,TRADE
SA1,2020/09/03 23:00:00,1423.4,35.19,TRADE
SA1,2020/09/03 23:30:00,1364.7,35.02,TRADE
SA1,2020/09/04 00:00:00,1533.13,41.01,TRADE
SA1,2020/09/04 00:30:00,1517.53,46.02,TRADE
SA1,2020/09/04 01:00:00,1461.5,44.08,TRADE
SA1,2020/09/04 01:30:00,1389.66,40.76,TRADE
SA1,2020/09/04 02:00:00,1294.36,37.07,TRADE
SA1,2020/09/04 02:30:00,1251.12,24.30,TRADE
SA1,2020/09/04 03:00:00,1223.09,23.85,TRADE
SA1,2020/09/04 03:30:00,1205.26,34.95,TRADE
SA1,2020/09/04 04:00:00,1160.66,25.57,TRADE
SA1,2020/09/04 04:30:00,1141.64,29.72,TRADE
SA1,2020/09/04 05:00:00,1155.25,33.28,TRADE
SA1,2020/09/04 05:30:00,1159.72,44.08,TRADE
SA1,2020/09/04 06:00:00,1206.53,46.98,TRADE
SA1,2020/09/04 06:30:00,1257.85,49.65,TRADE
SA1,2020/09/04 07:00:00,1368.93,58.89,TRADE
SA1,2020/09/04 07:30:00,1456.73,48.01,TRADE
SA1,2020/09/04 08:00:00,1525.86,56.19,TRADE
SA1,2020/09/04 08:30:00,1536.41,59.91,TRADE
SA1,2020/09/04 09:00:00,1504.19,59.65,TRADE
SA1,2020/09/04 09:30:00,1485.33,60.22,TRADE
SA1,2020/09/04 10:00:00,1311.34,59.51,TRADE
SA1,2020/09/04 10:30:00,1087.98,48.86,TRADE
SA1,2020/09/04 11:00:00,972.39,32.32,TRADE
SA1,2020/09/04 11:30:00,885.98,0.97,TRADE
SA1,2020/09/04 12:00:00,830.32,-170.95,TRADE
SA1,2020/09/04 12:30:00,792.6,-8.03,TRADE
SA1,2020/09/04 13:00:00,830.47,-163.75,TRADE
SA1,2020/09/04 13:30:00,771.84,-18.71,TRADE
SA1,2020/09/04 14:00:00,726.88,-19.52,TRADE
SA1,2020/09/04 14:30:00,719.02,-31.67,TRADE
SA1,2020/09/04 15:00:00,776.95,-11.34,TRADE
SA1,2020/09/04 15:30:00,793.19,-39.75,TRADE
SA1,2020/09/04 16:00:00,869.5,-129.87,TRADE
SA1,2020/09/04 16:30:00,964.69,17.58,TRADE
SA1,2020/09/04 17:00:00,1069.21,35.41,TRADE
SA1,2020/09/04 17:30:00,1264.85,45.57,TRADE
SA1,2020/09/04 18:00:00,1386.73,39.97,TRADE
SA1,2020/09/04 18:30:00,1471.45,44.27,TRADE
SA1,2020/09/04 19:00:00,1566.35,63.87,TRADE
SA1,2020/09/04 19:30:00,1592.7,60.33,TRADE
SA1,2020/09/04 20:00:00,1549.23,58.21,TRADE
SA1,2020/09/04 20:30:00,1549.46,51.82,TRADE
SA1,2020/09/04 21:00:00,1521.33,47.73,TRADE
SA1,2020/09/04 21:30:00,1486.68,44.43,TRADE
SA1,2020/09/04 22:00:00,1433.91,44.33,TRADE
SA1,2020/09/04 22:30:00,1360.75,45.77,TRADE
SA1,2020/09/04 23:00:00,1324.38,41.41,TRADE
SA1,2020/09/04 23:30:00,1311.16,38.79,TRADE
SA1,2020/09/05 00:00:00,1478.26,39.39,TRADE
SA1,2020/09/05 00:30:00,1452.34,39.71,TRADE
SA1,2020/09/05 01:00:00,1425.94,38.79,TRADE
SA1,2020/09/05 01:30:00,1356.34,38.23,TRADE
SA1,2020/09/05 02:00:00,1297.11,32.39,TRADE
SA1,2020/09/05 02:30:00,1262.97,34.74,TRADE
