REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2020/10/01 00:30:00,1516.73,42.19,TRADE
SA1,2020/10/01 01:00:00,1483.16,42.76,TRADE
SA1,2020/10/01 01:30:00,1393.07,41.51,TRADE
SA1,2020/10/01 02:00:00,1345.77,41.63,TRADE
SA1,2020/10/01 02:30:00,1294.78,40.79,TRADE
SA1,2020/10/01 03:00:00,1258.53,40.33,TRADE
SA1,2020/10/01 03:30:00,1214.63,40.44,TRADE
SA1,2020/10/01 04:00:00,1197.82,40.45,TRADE
SA1,2020/10/01 04:30:00,1181.47,40.77,TRADE
SA1,2020/10/01 05:00:00,1200.68,41.89,TRADE
SA1,2020/10/01 05:30:00,1210.99,43.25,TRADE
SA1,2020/10/01 06:00:00,1254.92,45.81,TRADE
SA1,2020/10/01 06:30:00,1302.83,56.79,TRADE
SA1,2020/10/01 07:00:00,1363.84,47.51,TRADE
SA1,2020/10/01 07:30:00,1365.5,45.17,TRADE
SA1,2020/10/01 08:00:00,1305.9,43.45,TRADE
SA1,2020/10/01 08:30:00,1202.6,41.26,TRADE
SA1,2020/10/01 09:00:00,1099.28,33.96,TRADE
SA1,2020/10/01 09:30:00,974.23,36.27,TRADE
SA1,2020/10/01 10:00:00,834.62,28.01,TRADE
SA1,2020/10/01 10:30:00,736.21,26.80,TRADE
SA1,2020/10/01 11:00:00,663.27,6.99,TRADE
SA1,2020/10/01 11:30:00,591.86,-37.30,TRADE
SA1,2020/10/01 12:00:00,600.04,-62.83,TRADE
SA1,2020/10/01 12:30:00,547.94,-58.69,TRADE
SA1,2020/10/01 13:00:00,543.46,-40.52,TRADE
SA1,2020/10/01 13:30:00,542.07,-38.58,TRADE
SA1,2020/10/01 14:00:00,569.74,-57.27,TRADE
SA1,2020/10/01 14:30:00,591.12,-53.24,TRADE
SA1,2020/10/01 15:00:00,628.15,-37.79,TRADE
SA1,2020/10/01 15:30:00,693.08,-32.27,TRADE
SA1,2020/10/01 16:00:00,776.7,-5.79,TRADE
SA1,2020/10/01 16:30:00,836.92,21.44,TRADE
SA1,2020/10/01 17:00:00,945.09,33.33,TRADE
SA1,2020/10/01 17:30:00,1109.6,37.08,TRADE
SA1,2020/10/01 18:00:00,1280.84,46.05,TRADE
SA1,2020/10/01 18:30:00,1415.69,156.85,TRADE
SA1,2020/10/01 19:00:00,1484.59,196.63,TRADE
SA1,2020/10/01 19:30:00,1529.21,67.48,TRADE
SA1,2020/10/01 20:00:00,1505.12,57.46,TRADE
SA1,2020/10/01 20:30:00,1455.8,48.35,TRADE
SA1,2020/10/01 21:00:00,1426.6,43.35,TRADE
SA1,2020/10/01 21:30:00,1379.05,41.05,TRADE
SA1,2020/10/01 22:00:00,1322.35,40.46,TRADE
SA1,2020/10/01 22:30:00,1274.6,43.02,TRADE
SA1,2020/10/01 23:00:00,1229.33,37.87,TRADE
SA1,2020/10/01 23:30:00,1192.44,37.84,TRADE
SA1,2020/10/02 00:00:00,1310.67,36.51,TRADE
SA1,2020/10/02 00:30:00,1281.14,20.39,TRADE
SA1,2020/10/02 01:00:00,1229.67,35.13,TRADE
SA1,2020/10/02 01:30:00,1152.65,14.22,TRADE
SA1,2020/10/02 02:00:00,1087.78,-29.41,TRADE
SA1,2020/10/02 02:30:00,1035.77,-36.76,TRADE
SA1,2020/10/02 03:00:00,1001.25,-35.95,TRADE
SA1,2020/10/02 03:30:00,970.44,-37.62,TRADE
SA1,2020/10/02 04:00:00,952.97,-38.52,TRADE
SA1,2020/10/02 04:30:00,981.46,-37.12,TRADE
SA1,2020/10/02 05:00:00,962.95,-36.85,TRADE
SA1,2020/10/02 05:30:00,976.63,-33.76,TRADE
SA1,2020/10/02 06:00:00,1006.61,-32.70,TRADE
SA1,2020/10/02 06:30:00,1027.94,-11.98,TRADE
SA1,2020/10/02 07:00:00,1064.34,-1.13,TRADE
SA1,2020/10/02 07:30:00,1045.47,-12.75,TRADE
SA1,2020/10/02 08:00:00,1019.81,-17.94,TRADE
SA1,2020/10/02 08:30:00,1013.96,-36.33,TRADE
SA1,2020/10/02 09:00:00,987.91,-64.75,TRADE
SA1,2020/10/02 09:30:00,935.04,-191.91,TRADE
SA1,2020/10/02 10:00:00,870.05,-168.24,TRADE
SA1,2020/10/02 10:30:00,808.21,-73.35,TRADE
SA1,2020/10/02 11:00:00,765.34,-85.02,TRADE
SA1,2020/10/02 11:30:00,718.77,-59.24,TRADE
SA1,2020/10/02 12:00:00,728.84,-137.17,TRADE
SA1,2020/10/02 12:30:00,716.34,-124.95,TRADE
SA1,2020/10/02 13:00:00,718.1,-124.55,TRADE
SA1,2020/10/02 13:30:00,748.22,-110.14,TRADE
SA1,2020/10/02 14:00:00,777.36,-93.89,TRADE
SA1,2020/10/02 14:30:00,809.04,-47.13,TRADE
SA1,2020/10/02 15:00:00,885.05,-43.94,TRADE
SA1,2020/10/02 15:30:00,938.74,-39.10,TRADE
SA1,2020/10/02 16:00:00,1023.97,-175.19,TRADE
SA1,2020/10/02 16:30:00,1098.13,-139.29,TRADE
SA1,2020/10/02 17:00:00,1131.97,29.52,TRADE
SA1,2020/10/02 17:30:00,1195.66,32.96,TRADE
SA1,2020/10/02 18:00:00,1305.57,33.25,TRADE
SA1,2020/10/02 18:30:00,1406.39,28.87,TRADE
SA1,2020/10/02 19:00:00,1390.18,36.01,TRADE
SA1,2020/10/02 19:30:00,1359.31,32.56,TRADE
SA1,2020/10/02 20:00:00,1320.19,32.85,TRADE
SA1,2020/10/02 20:30:00,1276.86,33.32,TRADE
SA1,2020/10/02 21:00:00,1223.15,30.33,TRADE
SA1,2020/10/02 21:30:00,1220.07,19.76,TRADE
SA1,2020/10/02 22:00:00,1187.48,6.34,TRADE
SA1,2020/10/02 22:30:00,1161.18,-10.26,TRADE
SA1,2020/10/02 23:00:00,1105.65,0.71,TRADE
SA1,2020/10/02 23:30:00,1111.22,13.06,TRADE
SA1,2020/10/03 00:00:00,1283.49,20.42,TRADE
SA1,2020/10/03 00:30:00,1286.27,-8.03,TRADE
SA1,2020/10/03 01:00:00,1243.6,-16.70,TRADE
SA1,2020/10/03 01:30:00,1146.97,-19.06,TRADE
SA1,2020/10/03 02:00:00,1083.36,-38.28,TRADE
SA1,2020/10/03 02:30:00,1041.9,-37.88,TRADE
SA1,2020/10/03 03:00:00,1010.92,-7.25,TRADE
SA1,2020/10/03 03:30:00,991.63,-37.20,TRADE
SA1,2020/10/03 04:00:00,921.78,-40.09,TRADE
SA1,2020/10/03 04:30:00,978.64,-41.74,TRADE
SA1,2020/10/03 05:00:00,974.11,-40.99,TRADE
SA1,2020/10/03 05:30:00,982.21,-40.61,TRADE
SA1,2020/10/03 06:00:00,1045.06,-40.31,TRADE
SA1,2020/10/03 06:30:00,1025.46,-40.04,TRADE
SA1,2020/10/03 07:00:00,1010.47,-42.11,TRADE
SA1,2020/10/03 07:30:00,989.74,-34.85,TRADE
SA1,2020/10/03 08:00:00,985.29,-50.08,TRADE
SA1,2020/10/03 08:30:00,1058.76,-29.30,TRADE
SA1,2020/10/03 09:00:00,1123.5,-35.75,TRADE
SA1,2020/10/03 09:30:00,1084.27,-36.37,TRADE
SA1,2020/10/03 10:00:00,1094.83,-41.21,TRADE
SA1,2020/10/03 10:30:00,1071.93,-33.94,TRADE
SA1,2020/10/03 11:00:00,1047.48,-33.83,TRADE
SA1,2020/10/03 11:30:00,1075.21,-26.50,TRADE
SA1,2020/10/03 12:00:00,988.36,-34.96,TRADE
SA1,2020/10/03 12:30:00,885,-61.39,TRADE
SA1,2020/10/03 13:00:00,1036.11,-12.80,TRADE
SA1,2020/10/03 13:30:00,1100.4,-13.69,TRADE
SA1,2020/10/03 14:00:00,1173.53,12.24,TRADE
SA1,2020/10/03 14:30:00,1183.3,7.20,TRADE
SA1,2020/10/03 15:00:00,1149.95,8,TRADE
SA1,2020/10/03 15:30:00,1154.89,-0.63,TRADE
SA1,2020/10/03 16:00:00,1096.95,15.57,TRADE
SA1,2020/10/03 16:30:00,1162.12,28.25,TRADE
SA1,2020/10/03 17:00:00,1255.89,34.47,TRADE
SA1,2020/10/03 17:30:00,1322.03,36.11,TRADE
SA1,2020/10/03 18:00:00,1284.7,36.99,TRADE
SA1,2020/10/03 18:30:00,1284.49,41.22,TRADE
SA1,2020/10/03 19:00:00,1301.98,44.10,TRADE
SA1,2020/10/03 19:30:00,1335.27,43.47,TRADE
SA1,2020/10/03 20:00:00,1283.78,40.02,TRADE
SA1,2020/10/03 20:30:00,1242.33,37.85,TRADE
SA1,2020/10/03 21:00:00,1206.53,33.11,TRADE
SA1,2020/10/03 21:30:00,1170.88,33.17,TRADE
SA1,2020/10/03 22:00:00,1170.82,38.67,TRADE
SA1,2020/10/03 22:30:00,1158.21,40.99,TRADE
SA1,2020/10/03 23:00:00,1158.72,42.37,TRADE
SA1,2020/10/03 23:30:00,1155.11,48.79,TRADE
