ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
CLOADNSWCE,COUNTRYENERGY,2018/01/01,2018/05/10 22:04:10,33.875,32.217,13.023,13.973,15.190,7.899,14.937,18.912,9.235,9.967,8.535,11.412,4.001,1.779,0.946,2.480,6.190,4.037,8.460,8.356,13.336,15.096,6.189,6.713,7.784,5.905,6.438,7.391,4.560,6.617,5.083,6.924,2.452,4.641,6.824,5.724,4.982,6.315,13.942,11.922,13.723,23.561,27.266,76.922,106.000,88.077,60.759,51.632,2,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/02,2018/05/10 22:04:10,44.854,36.754,18.343,17.177,15.672,16.795,7.518,12.126,14.062,16.760,12.728,12.696,6.008,3.223,3.704,3.873,8.726,6.476,8.124,12.641,9.306,7.292,8.467,6.330,6.893,5.155,5.648,7.337,7.053,5.360,3.535,6.900,5.002,3.370,1.597,5.532,12.548,10.196,13.200,13.031,17.844,30.398,27.024,77.621,110.779,83.480,64.393,59.247,3,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/03,2018/05/10 22:04:10,46.788,38.627,29.042,27.050,24.291,18.845,19.726,10.975,16.298,16.851,14.953,14.144,7.631,4.756,3.262,4.842,8.659,6.745,6.829,8.977,8.646,9.274,5.480,7.766,10.480,5.795,5.743,7.042,10.858,9.012,4.367,6.422,3.319,2.399,2.477,3.920,2.927,4.499,15.186,11.190,14.490,24.990,27.264,75.603,119.218,94.651,69.975,75.677,4,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/04,2018/05/10 22:04:10,51.815,34.259,24.938,17.586,22.711,13.168,13.016,10.821,14.380,18.207,18.186,21.319,5.999,3.894,1.511,1.958,6.166,11.618,6.013,9.629,7.641,9.136,4.326,3.601,5.232,6.563,7.600,2.434,4.518,5.355,4.970,3.735,2.331,2.637,4.200,3.950,7.049,9.266,10.712,9.209,17.381,23.777,25.582,75.674,93.451,83.021,59.080,63.170,5,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/05,2018/05/10 22:04:10,51.859,40.298,22.885,20.287,13.040,14.703,10.692,14.107,16.662,17.280,19.670,19.770,8.073,5.530,2.712,1.857,4.802,7.757,9.641,17.070,8.517,6.508,7.967,7.025,9.368,4.476,9.841,3.914,3.194,2.577,5.516,8.176,3.597,2.877,4.982,3.331,6.712,8.973,6.813,11.913,15.022,18.845,23.988,68.241,89.956,84.869,59.121,58.351,6,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/06,2018/05/10 22:04:10,42.693,28.510,16.040,21.414,15.315,17.533,10.630,12.303,9.290,13.131,14.877,12.387,17.337,30.618,18.281,26.557,18.713,23.236,20.042,22.572,15.312,23.418,14.965,18.042,18.062,19.499,17.391,15.493,15.060,12.372,13.150,13.759,7.301,9.087,10.943,5.833,7.620,10.827,11.412,16.415,14.425,17.461,17.142,55.882,45.133,26.836,21.737,23.514,7,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/07,2018/05/10 22:04:10,21.459,20.989,15.996,11.256,12.304,8.763,8.614,10.568,10.989,16.229,8.555,11.759,13.895,15.993,16.237,22.400,18.236,22.100,24.352,20.912,23.625,17.755,19.336,20.874,26.012,28.109,22.680,27.213,15.957,14.446,11.553,15.247,9.313,9.683,7.514,10.754,11.681,10.921,11.561,17.437,15.572,13.414,15.411,46.191,43.229,32.280,22.495,26.608,1,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/08,2018/05/10 22:04:10,18.506,13.655,14.034,12.719,11.909,6.561,5.802,11.142,8.745,12.717,15.678,8.142,9.107,4.363,3.520,2.803,8.458,6.361,9.307,6.601,6.082,10.211,9.278,5.110,8.952,9.800,4.635,3.188,6.458,2.826,2.416,1.380,4.450,2.518,3.079,3.051,3.213,8.017,11.403,13.403,19.695,28.238,23.765,71.181,101.628,74.126,56.886,44.315,2,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/09,2018/05/10 22:04:10,42.541,20.909,22.079,11.106,9.903,5.492,6.309,10.940,15.003,14.967,19.685,13.492,4.777,6.140,0.969,3.024,7.697,8.156,6.929,9.423,10.541,5.401,6.023,2.936,10.647,7.127,5.889,8.265,4.266,4.708,6.225,5.745,2.968,4.842,1.523,5.897,5.688,5.916,9.559,10.346,14.700,23.413,33.036,76.955,106.836,74.491,49.751,40.066,3,N,6541
CLOADNSWCE,COUNTRYENERGY,2018/01/10,2018/05/10 22:04:10,32.830,32.475,22.777,23.624,23.889,13.296,8.111,11.723,13.026,13.340,16.009,18.586,8.009,4.134,3.335,2.925,6.317,12.099,15.301,11.611,11.288,8.898,6.545,9.800,12.439,11.992,7.753,8.040,6.007,7.595,6.008,3.707,3.576,4.898,3.404,2.907,4.288,6.656,9.921,12.287,12.878,28.571,27.986,73.126,107.140,79.139,49.756,46.699,4,N,6541
