ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
NSLP,ACTEWAGL,2017/01/01,2017/05/11 22:00:23,45060.879,41722.635,39330.511,37180.805,35959.170,34781.951,33915.939,33323.572,33213.884,30083.116,31266.129,33723.175,34455.169,34773.903,37528.257,40583.385,43239.177,43996.735,51179.207,53657.381,59801.911,56029.406,55394.893,55543.075,56772.311,58698.161,55309.989,57919.279,55642.492,57623.616,57838.397,58905.560,61708.454,64992.656,65805.324,67442.174,67850.033,67028.045,67141.018,67646.568,65259.241,62357.206,59494.949,55626.429,60820.251,56793.664,50296.370,43347.998,36,Y,5920
NSLP,ACTEWAGL,2017/01/02,2017/05/11 22:00:23,39140.166,36473.048,35132.432,33767.707,33212.858,32528.915,32341.801,32000.067,31777.254,30071.150,31499.315,34615.516,36267.901,38379.468,41075.834,44213.987,45804.669,44866.128,46814.562,47470.679,52343.201,52568.721,52140.824,53471.565,56228.176,56849.064,58722.025,60551.052,67841.236,69912.538,70243.031,73147.314,77032.366,80660.217,82574.219,82009.592,78427.020,73891.529,69992.071,68653.289,66517.493,62409.117,58159.859,53777.998,57927.864,54742.741,48481.563,41014.791,37,Y,5920
NSLP,ACTEWAGL,2017/01/03,2017/05/11 22:00:23,36635.224,34192.964,32748.473,31747.280,31099.531,30806.659,30366.731,30423.039,31347.438,30801.253,33572.367,40446.840,44860.808,46284.948,47357.473,47043.482,45921.390,43906.474,44191.826,43365.505,47966.097,46786.197,45178.366,44556.382,46058.950,46082.318,46877.685,48371.955,50197.946,53381.047,55677.716,59546.055,64762.910,70065.285,73801.105,74709.059,72454.100,69443.369,68121.120,68370.010,64495.903,60708.261,56683.023,52273.108,57058.316,53477.121,47362.653,39976.275,38,Y,5920
NSLP,ACTEWAGL,2017/01/04,2017/05/11 22:00:23,36050.746,33427.021,32439.600,31290.805,30922.416,30406.804,30443.872,30524.242,31172.109,30256.512,34336.446,40290.607,45823.803,47697.626,48975.414,50856.697,49279.644,47781.496,50041.527,47785.787,50785.519,50171.034,50262.779,47448.500,47260.594,47752.438,48759.707,45744.361,44946.858,46179.584,50196.086,53459.258,58733.776,65159.707,69175.425,71707.984,70991.894,69109.524,67281.097,67088.866,65392.291,61608.845,57850.051,53221.672,57933.950,54294.543,47781.786,40422.231,39,Y,5920
NSLP,ACTEWAGL,2017/01/05,2017/05/11 22:00:23,35906.161,33588.169,32307.964,31118.632,30763.562,30105.798,30406.999,30282.957,31093.420,30642.508,34603.696,41092.143,46187.637,48697.192,48984.342,48296.566,48137.246,47080.376,47515.171,45582.495,49860.176,48152.784,45652.081,45967.500,47689.026,50670.580,50045.497,53503.846,57607.967,61226.962,65983.825,72384.131,78439.685,82974.805,83011.733,80306.066,75591.361,71932.093,70013.011,68524.188,64422.806,61089.109,57155.119,52846.812,57595.820,54632.421,48366.733,40745.856,40,Y,5920
NSLP,ACTEWAGL,2017/01/06,2017/05/11 22:00:23,36729.590,34036.770,32944.951,31718.453,31368.214,30891.178,30973.009,30679.297,31877.286,31407.456,35004.532,41985.722,46982.869,49225.263,49782.638,49256.104,48162.786,47312.304,47624.665,47430.381,52113.181,52781.470,52131.570,53317.680,55640.124,56448.476,57945.696,60870.313,64874.434,69217.808,73035.779,78460.979,82818.377,87849.645,88897.548,88336.276,85193.860,80363.659,75906.991,74360.108,71131.530,67326.411,63276.367,58807.471,62736.555,58765.732,52139.725,44388.790,41,Y,5920
NSLP,ACTEWAGL,2017/01/07,2017/05/11 22:00:23,39888.827,36800.579,34998.896,34069.350,32896.935,32429.816,31998.940,31727.074,32060.896,30303.924,31556.106,36398.242,38992.041,41797.119,44293.756,46520.705,48977.533,48683.012,50409.198,50787.027,56141.120,56539.465,55442.652,56566.799,59372.182,60649.379,63442.792,67769.873,72647.556,77652.226,82063.044,87704.669,93804.765,98501.201,101020.073,101353.758,97867.313,92552.751,88161.121,86732.401,82495.569,77793.972,72558.772,66910.298,70182.333,65313.175,57901.272,49413.731,42,Y,5920
NSLP,ACTEWAGL,2017/01/08,2017/05/11 22:00:23,44165.850,41203.734,38786.187,37197.112,36051.562,35250.482,34347.950,34155.760,34167.847,32185.660,32677.714,36718.483,38452.986,40589.887,44214.396,47632.628,50175.131,53078.628,55588.906,57529.855,63311.191,66970.948,69123.557,72995.550,76271.041,80136.528,81853.417,84358.459,87235.598,89981.437,91510.237,93109.718,96588.966,101886.368,104700.719,105403.071,103774.143,100088.637,97417.573,95693.359,92096.215,85761.974,78813.270,70374.421,71858.760,67007.637,58960.469,50592.500,36,Y,5920
NSLP,ACTEWAGL,2017/01/09,2017/05/11 22:00:23,45754.336,42975.610,41023.733,39927.809,39244.724,38240.979,37625.946,37531.684,37836.363,38884.443,41581.724,51178.044,57613.035,60545.637,61205.391,61100.858,61250.340,61848.946,64068.846,67610.601,73170.520,73191.525,78008.078,84779.565,91265.284,91693.815,95032.477,93677.477,95199.305,101307.050,103538.167,103145.654,106656.749,110535.571,113070.831,112174.851,106990.897,101440.493,99119.282,94358.130,88004.492,81946.270,74862.018,67773.685,70101.234,65399.736,57102.901,49298.061,37,Y,5920
NSLP,ACTEWAGL,2017/01/10,2017/05/11 22:00:23,44457.887,42173.908,40372.318,39188.899,38187.083,37806.168,37416.753,37135.939,37782.644,38451.175,41635.031,51199.581,57263.872,60101.030,61237.757,61217.260,61526.378,61227.011,63577.758,65783.996,73015.990,75281.226,76612.014,80927.929,86023.954,90770.163,95874.699,96668.038,97109.654,99773.484,100186.879,105573.250,111324.203,120292.124,127195.062,130319.427,127246.069,121883.552,115316.223,110720.048,106155.423,98327.365,88448.811,78242.579,77706.645,70518.038,61602.228,52484.203,38,Y,5920
