REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2020/09/01 00:30:00,5264.13,43.91,TRADE
QLD1,2020/09/01 01:00:00,5116.38,41.19,TRADE
QLD1,2020/09/01 01:30:00,5028.46,40.12,TRADE
QLD1,2020/09/01 02:00:00,4950.99,41.34,TRADE
QLD1,2020/09/01 02:30:00,4921.02,37.82,TRADE
QLD1,2020/09/01 03:00:00,4889.37,36.93,TRADE
QLD1,2020/09/01 03:30:00,4896.82,38.82,TRADE
QLD1,2020/09/01 04:00:00,4892.1,35.62,TRADE
QLD1,2020/09/01 04:30:00,4995.03,33.28,TRADE
QLD1,2020/09/01 05:00:00,5094.21,32.14,TRADE
QLD1,2020/09/01 05:30:00,5326.79,36.17,TRADE
QLD1,2020/09/01 06:00:00,5563.83,42.55,TRADE
QLD1,2020/09/01 06:30:00,5875.7,48.37,TRADE
QLD1,2020/09/01 07:00:00,6139.21,45.61,TRADE
QLD1,2020/09/01 07:30:00,6200.98,30.92,TRADE
QLD1,2020/09/01 08:00:00,5886.98,16.94,TRADE
QLD1,2020/09/01 08:30:00,5513.58,0.69,TRADE
QLD1,2020/09/01 09:00:00,5229.83,-28.24,TRADE
QLD1,2020/09/01 09:30:00,4938.56,1.81,TRADE
QLD1,2020/09/01 10:00:00,4774.14,-1.70,TRADE
QLD1,2020/09/01 10:30:00,4687.82,-15.81,TRADE
QLD1,2020/09/01 11:00:00,4577.36,-26.64,TRADE
QLD1,2020/09/01 11:30:00,4539.84,-31.18,TRADE
QLD1,2020/09/01 12:00:00,4571.24,-26.67,TRADE
QLD1,2020/09/01 12:30:00,4623.58,-25.69,TRADE
QLD1,2020/09/01 13:00:00,4624.53,-26.13,TRADE
QLD1,2020/09/01 13:30:00,4720.47,-23.50,TRADE
QLD1,2020/09/01 14:00:00,4893.92,0.25,TRADE
QLD1,2020/09/01 14:30:00,4995.63,-0.02,TRADE
QLD1,2020/09/01 15:00:00,5146.67,16.63,TRADE
QLD1,2020/09/01 15:30:00,5334.71,14.11,TRADE
QLD1,2020/09/01 16:00:00,5611.89,23.44,TRADE
QLD1,2020/09/01 16:30:00,5969.27,28.34,TRADE
QLD1,2020/09/01 17:00:00,6308.44,33.66,TRADE
QLD1,2020/09/01 17:30:00,6536.35,39.68,TRADE
QLD1,2020/09/01 18:00:00,6819.97,144.24,TRADE
QLD1,2020/09/01 18:30:00,6918.01,240.55,TRADE
QLD1,2020/09/01 19:00:00,6970.32,173.46,TRADE
QLD1,2020/09/01 19:30:00,6850.1,49.85,TRADE
QLD1,2020/09/01 20:00:00,6763.03,49.45,TRADE
QLD1,2020/09/01 20:30:00,6672.41,55.37,TRADE
QLD1,2020/09/01 21:00:00,6464.34,51.62,TRADE
QLD1,2020/09/01 21:30:00,6270.52,42.69,TRADE
QLD1,2020/09/01 22:00:00,6090.71,35.39,TRADE
QLD1,2020/09/01 22:30:00,5954.87,38.09,TRADE
QLD1,2020/09/01 23:00:00,5827.8,35.31,TRADE
QLD1,2020/09/01 23:30:00,5613.87,35.06,TRADE
QLD1,2020/09/02 00:00:00,5424.14,33.05,TRADE
QLD1,2020/09/02 00:30:00,5212.18,32.09,TRADE
QLD1,2020/09/02 01:00:00,5084.17,31.92,TRADE
QLD1,2020/09/02 01:30:00,4978.99,31.27,TRADE
QLD1,2020/09/02 02:00:00,4918.11,31.76,TRADE
QLD1,2020/09/02 02:30:00,4890.41,32.03,TRADE
QLD1,2020/09/02 03:00:00,4867.67,30.72,TRADE
QLD1,2020/09/02 03:30:00,4850.39,30.09,TRADE
QLD1,2020/09/02 04:00:00,4878.45,30.64,TRADE
QLD1,2020/09/02 04:30:00,4977.44,29.34,TRADE
QLD1,2020/09/02 05:00:00,5043.56,27.13,TRADE
QLD1,2020/09/02 05:30:00,5231.89,30.62,TRADE
QLD1,2020/09/02 06:00:00,5437.89,34.53,TRADE
QLD1,2020/09/02 06:30:00,5695.32,40.30,TRADE
QLD1,2020/09/02 07:00:00,5944.1,42.29,TRADE
QLD1,2020/09/02 07:30:00,6010.6,31.70,TRADE
QLD1,2020/09/02 08:00:00,5888.27,34.48,TRADE
QLD1,2020/09/02 08:30:00,5640.06,34.97,TRADE
QLD1,2020/09/02 09:00:00,5420.55,28.88,TRADE
QLD1,2020/09/02 09:30:00,5332.81,32.45,TRADE
QLD1,2020/09/02 10:00:00,5286.01,23.73,TRADE
QLD1,2020/09/02 10:30:00,5129.89,26.67,TRADE
QLD1,2020/09/02 11:00:00,5021.47,18.70,TRADE
QLD1,2020/09/02 11:30:00,4934.6,9.51,TRADE
QLD1,2020/09/02 12:00:00,4919.54,7.38,TRADE
QLD1,2020/09/02 12:30:00,4905.48,4.71,TRADE
QLD1,2020/09/02 13:00:00,4849.78,3.07,TRADE
QLD1,2020/09/02 13:30:00,4825.43,1.76,TRADE
QLD1,2020/09/02 14:00:00,4897.9,14.56,TRADE
QLD1,2020/09/02 14:30:00,4962.37,14.20,TRADE
QLD1,2020/09/02 15:00:00,5165.9,26.81,TRADE
QLD1,2020/09/02 15:30:00,5392.16,29.91,TRADE
QLD1,2020/09/02 16:00:00,5655.1,35.11,TRADE
QLD1,2020/09/02 16:30:00,5987.13,36.82,TRADE
QLD1,2020/09/02 17:00:00,6333.88,46.88,TRADE
QLD1,2020/09/02 17:30:00,6559.56,44.11,TRADE
QLD1,2020/09/02 18:00:00,6784.16,53.08,TRADE
QLD1,2020/09/02 18:30:00,6960.7,145.64,TRADE
QLD1,2020/09/02 19:00:00,6990.32,105.72,TRADE
QLD1,2020/09/02 19:30:00,6828.85,47.25,TRADE
QLD1,2020/09/02 20:00:00,6731.6,48.25,TRADE
QLD1,2020/09/02 20:30:00,6631.84,52.17,TRADE
QLD1,2020/09/02 21:00:00,6405.9,44.94,TRADE
QLD1,2020/09/02 21:30:00,6213.69,39.67,TRADE
QLD1,2020/09/02 22:00:00,6043.4,39.30,TRADE
QLD1,2020/09/02 22:30:00,5897.97,47.77,TRADE
QLD1,2020/09/02 23:00:00,5786.93,36.40,TRADE
QLD1,2020/09/02 23:30:00,5582.85,35.50,TRADE
QLD1,2020/09/03 00:00:00,5383.76,38.94,TRADE
