REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2020/09/01 00:30:00,1109.35,19.05,TRADE
TAS1,2020/09/01 01:00:00,1096.18,29.51,TRADE
TAS1,2020/09/01 01:30:00,1087.63,43.85,TRADE
TAS1,2020/09/01 02:00:00,1071.55,45.41,TRADE
TAS1,2020/09/01 02:30:00,1070.76,40.08,TRADE
TAS1,2020/09/01 03:00:00,1072.44,39.08,TRADE
TAS1,2020/09/01 03:30:00,1078.79,40.08,TRADE
TAS1,2020/09/01 04:00:00,1077.65,35.68,TRADE
TAS1,2020/09/01 04:30:00,1089.37,57.10,TRADE
TAS1,2020/09/01 05:00:00,1107.43,31.90,TRADE
TAS1,2020/09/01 05:30:00,1146.35,61.94,TRADE
TAS1,2020/09/01 06:00:00,1191.46,65.38,TRADE
TAS1,2020/09/01 06:30:00,1277.15,50.76,TRADE
TAS1,2020/09/01 07:00:00,1373.35,57.74,TRADE
TAS1,2020/09/01 07:30:00,1443.75,85.56,TRADE
TAS1,2020/09/01 08:00:00,1478.79,113.76,TRADE
TAS1,2020/09/01 08:30:00,1454.14,101.71,TRADE
TAS1,2020/09/01 09:00:00,1418.38,53.22,TRADE
TAS1,2020/09/01 09:30:00,1346,35.20,TRADE
TAS1,2020/09/01 10:00:00,1276.66,91.65,TRADE
TAS1,2020/09/01 10:30:00,1216.27,38.34,TRADE
TAS1,2020/09/01 11:00:00,1169.47,43.91,TRADE
TAS1,2020/09/01 11:30:00,1126.97,104.97,TRADE
TAS1,2020/09/01 12:00:00,1117.1,34.07,TRADE
TAS1,2020/09/01 12:30:00,1117.74,31.39,TRADE
TAS1,2020/09/01 13:00:00,1101.02,32.94,TRADE
TAS1,2020/09/01 13:30:00,1067.54,12.96,TRADE
TAS1,2020/09/01 14:00:00,1071.05,17.47,TRADE
TAS1,2020/09/01 14:30:00,1078.48,19.76,TRADE
TAS1,2020/09/01 15:00:00,1070.17,25.18,TRADE
TAS1,2020/09/01 15:30:00,1085.64,25.43,TRADE
TAS1,2020/09/01 16:00:00,1117.77,33.87,TRADE
TAS1,2020/09/01 16:30:00,1139.35,42.79,TRADE
TAS1,2020/09/01 17:00:00,1188.41,39.98,TRADE
TAS1,2020/09/01 17:30:00,1259.87,37.24,TRADE
TAS1,2020/09/01 18:00:00,1354.18,50.15,TRADE
TAS1,2020/09/01 18:30:00,1415.03,30.01,TRADE
TAS1,2020/09/01 19:00:00,1339.4,2.08,TRADE
TAS1,2020/09/01 19:30:00,1368.37,41.12,TRADE
TAS1,2020/09/01 20:00:00,1349.85,47.75,TRADE
TAS1,2020/09/01 20:30:00,1332.3,55.01,TRADE
TAS1,2020/09/01 21:00:00,1272.9,39.14,TRADE
TAS1,2020/09/01 21:30:00,1240.84,36.41,TRADE
TAS1,2020/09/01 22:00:00,1188.44,39.13,TRADE
TAS1,2020/09/01 22:30:00,1117.43,41.12,TRADE
TAS1,2020/09/01 23:00:00,1062.26,37.51,TRADE
TAS1,2020/09/01 23:30:00,1013.43,38.72,TRADE
TAS1,2020/09/02 00:00:00,989.49,38.67,TRADE
TAS1,2020/09/02 00:30:00,973.43,35.94,TRADE
TAS1,2020/09/02 01:00:00,955.66,37.04,TRADE
TAS1,2020/09/02 01:30:00,961.8,38,TRADE
TAS1,2020/09/02 02:00:00,962.6,40.32,TRADE
TAS1,2020/09/02 02:30:00,920.3,25.11,TRADE
TAS1,2020/09/02 03:00:00,958.88,40.32,TRADE
TAS1,2020/09/02 03:30:00,966.2,39.31,TRADE
TAS1,2020/09/02 04:00:00,957.74,40.37,TRADE
TAS1,2020/09/02 04:30:00,954.87,40.28,TRADE
TAS1,2020/09/02 05:00:00,978.14,40.43,TRADE
TAS1,2020/09/02 05:30:00,1016.26,40.28,TRADE
TAS1,2020/09/02 06:00:00,1050.36,40.28,TRADE
TAS1,2020/09/02 06:30:00,1128.09,53.34,TRADE
TAS1,2020/09/02 07:00:00,1221.13,44.02,TRADE
TAS1,2020/09/02 07:30:00,1298.55,35.37,TRADE
TAS1,2020/09/02 08:00:00,1308.97,42.15,TRADE
TAS1,2020/09/02 08:30:00,1306.18,45.64,TRADE
TAS1,2020/09/02 09:00:00,1263.19,34.48,TRADE
